,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,living_sum_flatmates,metric_youngersiblings,202_final,202conv,prog202conv,202sqr,prog202sqr,avgOPI_202,progOPI_202,avgOPI202sq,progOPI202sqr,metric_FLcumulative_wo_AR,improv_cult,improv_gmr,improv_listening,improv_overall,improv_pron,improv_reading,improv_voc,improv_writing,metric_presojournOPI_delta,metric_postsojournOPI_delta,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
1,0.75,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,15.0,21.0,0.041666666666666664,1.0,0.3333333333333333,0.8,0.8,1.0,9.0,97.0,6.4,2.1,7.1,1.4,6.2,1.8,6.6,1.4,11.0,0.6,1.0,,0.8,0.4,1.0,1.0,0.8,-96.45454545454545,-96.27272727272727,2.0,2,0.0,0,2.0,2,0.0,0.0,0.05405405405405406,0.019781271028884592,0.017305538788241898,,1.0
2,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.16666666666666666,0.8,0.6666666666666666,0.6,0.8,5.0,0.0,86.7,5.7,1.8,5.3,2.2,4.8,2.2,4.6,2.4,3.0,1.0,0.0,,0.4,0.6,0.8,0.6,0.2,-86.33636363636364,-86.06363636363636,3.4,5,2.4,4,5.8,9,0.06106106106106106,0.059684684684684686,0.19031531531531531,0.05257375671193716,0.05190284177531173,12.0,0.3333333333333333
3,1.0,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.0625,0.8,0.6666666666666666,0.2,0.6,4.0,1.0,87.0,5.7,1.8,5.3,2.2,4.9,2.1,4.7,2.3,0.0,0.8,0.2,,0.8,0.6,0.8,1.0,0.6,-86.63636363636364,-86.36363636363636,0.6,1,3.0,5,3.6,6,0.015765765765765764,0.015015015015015015,0.06783253842077372,0.01731891622077881,0.018603580315434215,1.0,0.07142857142857142
4,0.15789473684210525,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.125,0.8,1.0,0.85,0.8,7.0,2.0,79.6,5.2,1.3,4.2,2.3,5.1,0.9,4.6,1.4,3.0,1.0,0.2,,0.8,0.6,0.6,1.0,0.8,-79.14545454545454,-79.05454545454545,0.0,0,2.6,4,2.6,4,0.0,0.0,0.0,0.010884701485282514,0.010970349893155332,4.0,0.0
5,0.2727272727272727,male,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.125,1.0,0.6666666666666666,0.7,0.8,1.0,6.0,96.2,6.3,1.2,7.0,0.5,6.7,0.3,7.0,0.0,0.0,1.0,0.8,,0.8,0.6,1.0,0.6,0.6,-95.56363636363636,-95.56363636363636,1.8,2,0.6,1,2.4,3,0.013513513513513514,0.013513513513513514,0.09034034034034034,0.035495996489673214,0.039620328829194314,15.0,0.3333333333333333
6,0.5,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,11.0,0.125,0.8,0.6666666666666666,0.6,0.4,3.0,2.0,86.1,5.6,0.9,5.2,1.3,5.3,0.7,5.1,0.9,2.0,1.0,0.4,,0.6,0.6,0.6,0.8,0.8,-85.64545454545454,-85.55454545454545,1.4,2,2.4,3,3.8,5,0.0,0.0,0.1343402225755167,0.037528893753040866,0.03471298046014402,,0.875
7,0.5,male,0.6363636363636364,0.45454545454545453,0.18181818181818182,8.0,14.0,0.1388888888888889,1.0,0.6666666666666666,0.6,0.6,4.0,6.0,86.5,5.7,1.8,5.3,2.2,5.3,1.7,5.1,1.9,5.0,1.0,0.6,,0.8,0.6,1.0,0.8,0.8,-86.04545454545455,-85.86363636363636,2.6,3,2.0,3,4.6,6,0.09534534534534535,0.09496996996996997,0.09929494712103408,0.04496753451213593,0.040563099156263466,5.0,0.23076923076923078
8,0.4,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,6.0,12.0,0.041666666666666664,0.4,0.6666666666666666,0.5,0.8,3.0,3.0,92.0,6.0,1.5,6.2,1.29,5.5,1.5,5.6,1.4,2.0,0.8,0.4,,0.6,0.6,0.6,0.8,0.4,-91.54545454545455,-91.36363636363636,0.6,1,2.4,3,3.0,4,0.0,0.0,0.02702702702702703,0.013379518357264517,0.013484831540771496,3.0,0.4
9,1.0,female,0.7272727272727273,0.36363636363636365,0.36363636363636365,8.5,14.5,0.16666666666666666,0.6,0.6666666666666666,0.7,0.6,1.0,8.0,95.4,6.3,2.2,6.8,1.7,5.1,2.9,5.4,2.6,5.5,0.8,0.4,,0.6,0.6,0.8,0.6,0.8,-95.03636363636365,-94.67272727272727,0.8,1,0.2,1,1.0,2,0.0015015015015015015,0.0015015015015015015,0.02702702702702703,0.014996680478137903,0.01563275597715054,10.0,0.0
10,1.0,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,3.0,9.0,0.06944444444444445,1.0,1.0,0.8,0.8,7.0,20.0,77.0,5.0,0.5,3.7,1.8,4.5,0.5,3.9,1.1,0.0,0.8,0.4,,0.8,0.6,0.2,0.6,0.8,-76.63636363636364,-76.54545454545455,0.2,1,1.0,1,1.2,2,0.0015015015015015015,0.0015015015015015015,0.036036036036036036,0.023631749579460265,0.024258187480954048,11.0,0.0
11,0.5,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,13.5,19.5,0.0625,0.6,0.6666666666666666,0.75,0.6,3.0,3.0,90.3,5.9,1.6,5.9,1.6,6.0,1.0,6.0,1.0,10.0,0.8,0.4,,0.6,0.6,0.4,0.8,0.8,-89.75454545454545,-89.66363636363636,1.0,2,0.0,0,1.0,2,0.0,0.0,0.11036036036036037,0.018856909395236758,0.02233386186053537,,1.0
12,1.0,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,7.0,13.0,0.0625,1.0,0.3333333333333333,0.6,1.0,4.0,8.0,95.8,6.3,2.2,6.9,1.6,6.6,1.4,7.0,1.0,4.0,0.2,0.6,,0.6,0.8,0.4,0.8,0.4,-95.16363636363636,-95.07272727272726,1.4,2,0.0,0,1.4,2,0.0,0.0,0.08512449457331348,0.044422785636440885,0.0477576674736826,,0.5
14,0.5454545454545454,male,0.6363636363636364,0.36363636363636365,0.2727272727272727,6.0,12.0,0.08333333333333333,1.0,0.6666666666666666,0.3,0.6,3.0,2.0,93.0,6.1,1.4,6.4,1.1,5.0,2.0,5.2,1.8,3.0,1.0,0.2,,0.6,0.4,0.8,0.8,0.8,-92.63636363636364,-92.36363636363636,0.8,1,3.0,5,3.8,6,0.018018018018018018,0.018018018018018018,0.02702702702702703,0.014675534624188174,0.01479105714062573,13.0,0.21428571428571427
15,0.3103448275862069,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,10.0,16.0,0.08333333333333333,0.8,0.3333333333333333,0.75,0.8,4.0,,98.5,6.5,2.0,7.4,1.1,6.7,1.3,7.2,0.8,7.0,0.8,0.2,,0.6,0.8,0.8,0.6,0.6,-97.86363636363636,-97.77272727272727,0.2,1,0.0,0,0.2,1,0.0,0.0,0.02702702702702703,0.011596390157122872,0.013301552935152937,,0.0
16,0.2857142857142857,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,11.0,17.0,0.08333333333333333,0.8,0.3333333333333333,0.7,1.0,1.0,2.0,97.3,6.4,1.1,7.2,0.3,6.2,0.8,6.6,0.4,8.0,0.8,0.4,,0.8,0.6,0.8,1.0,0.6,-96.75454545454545,-96.66363636363636,1.4,2,2.4,3,3.8,5,0.04204204204204204,0.04204204204204204,0.1305019305019305,0.022448507268233546,0.022703535992719764,18.0,0.125
17,0.29411764705882354,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,10.0,16.0,0.1111111111111111,0.6,0.6666666666666666,0.85,0.2,3.0,0.0,87.5,5.7,0.8,5.4,1.1,5.4,0.6,5.2,0.8,7.0,1.0,0.4,,0.8,0.8,0.8,0.8,0.4,-87.04545454545455,-86.95454545454545,0.8,1,0.0,0,0.8,1,0.0,0.0,0.02702702702702703,0.013731456172643939,0.013301552935152937,,0.0
18,0.6666666666666666,female,0.6363636363636364,0.36363636363636365,0.2727272727272727,3.0,9.0,0.041666666666666664,0.8,0.6666666666666666,0.5,0.0,3.0,9.0,86.9,5.7,1.8,5.3,2.2,4.9,2.1,4.7,2.3,0.0,1.0,0.4,,0.6,0.6,1.0,0.8,0.4,-86.53636363636365,-86.26363636363637,0.6,1,0.0,0,0.6,1,0.0,0.0,0.0868409392999557,0.01568761654739806,0.01590120138748723,,0.0
