,metric_TLuseoutofclass,metric_Gender,metric_postsojournOPI,metric_presojournOPI,metric_level gained,metric_FLcumulativecompetence,metric_general_cumulativecompet,context_learningoutofclassminday,psycho_motivationdegree,psycho_proficiencyingroup_BAL1,interact_classmates,interaction_groupintegration,living_sum_flatmates,metric_youngersiblings,202_final,202conv,prog202conv,202sqr,prog202sqr,avgOPI_202,progOPI_202,avgOPI202sq,progOPI202sqr,metric_FLcumulative_wo_AR,improv_cult,improv_gmr,improv_listening,improv_overall,improv_pron,improv_reading,improv_voc,improv_writing,metric_presojournOPI_delta,metric_postsojournOPI_delta,in_degree_weighted,in_degree,out_degree_weighted,out_degree,degree_weighted,degree,betweenness_weighted,betweenness,closeness,pagerank_weighhted,pagerank,voterank,clustering_coefficient
19,0.2727272727272727,female,0.5454545454545454,0.45454545454545453,0.09090909090909091,3.0,9.0,0.16666666666666666,0.8,0.6666666666666666,0.7,0.8,7.0,0.0,82.7,5.4,1.1,4.6,1.9,5.2,0.8,4.8,1.2,0.0,0.8,0.4,,0.4,0.4,0.4,0.6,0.6,-82.24545454545455,-82.15454545454546,2.0,3,1.8,2,3.8,5,0.005755755755755755,0.0022522522522522522,0.13841113841113842,0.04482236124951982,0.044547712480293565,,0.6666666666666666
20,0.4,female,0.45454545454545453,0.36363636363636365,0.09090909090909091,7.5,13.5,0.1736111111111111,0.6,0.3333333333333333,0.7,0.6,3.0,2.0,95.4,6.3,-0.8,6.8,-1.3,5.1,-0.1,5.4,-0.4,5.0,0.8,0.2,,0.4,0.4,0.6,0.6,0.6,-95.03636363636365,-94.94545454545455,0.0,0,1.8,2,1.8,2,0.0,0.0,0.0,0.010884701485282514,0.010970349893155332,,1.0
21,1.0,female,0.6363636363636364,0.6363636363636364,0.0,3.0,9.0,0.09722222222222222,0.6,0.6666666666666666,0.7,0.6,3.0,3.0,88.7,5.8,1.7,5.6,1.9,6.4,0.6,6.3,0.7,0.0,1.0,0.4,,0.8,0.6,0.8,0.6,0.6,-88.06363636363636,-88.06363636363636,2.0,2,1.6,2,3.6,4,0.07807807807807808,0.07807807807807808,0.08013276434329066,0.035137463036573585,0.027126195541590077,17.0,0.2
22,0.3333333333333333,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,5.0,11.0,0.041666666666666664,0.8,0.6666666666666666,0.7,0.8,7.0,3.0,87.4,5.7,1.8,5.4,2.1,5.9,1.1,5.7,1.3,2.0,0.8,0.6,,0.8,0.8,0.6,0.8,0.8,-86.85454545454546,-86.76363636363637,0.0,0,2.2,3,2.2,3,0.0,0.0,0.0,0.010884701485282514,0.010970349893155332,7.0,0.3333333333333333
24,0.8571428571428571,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,10.0,16.0,0.052083333333333336,0.6,0.6666666666666666,0.6,0.6,4.0,5.0,89.2,5.8,2.7,5.7,2.8,6.4,1.6,6.4,1.6,7.0,0.8,0.2,,0.6,0.4,0.6,0.8,0.4,-88.56363636363636,-88.47272727272727,1.0,1,0.0,0,1.0,1,0.0,0.0,0.04054054054054054,0.03097142061245748,0.031589830956256795,,0.0
25,0.6666666666666666,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,5.0,14.0,0.041666666666666664,0.8,0.3333333333333333,0.4,0.6,3.0,0.0,99.0,6.5,0.0,7.5,-1.0,5.7,0.3,6.3,-0.3,2.0,0.8,0.2,,0.6,0.6,0.8,0.8,0.4,-98.54545454545455,-98.45454545454545,1.4,2,2.4,3,3.8,5,0.03528528528528529,0.03566066066066066,0.0795278036657347,0.030278931867203623,0.02694002665678267,9.0,0.125
26,0.9,female,0.6363636363636364,0.5454545454545454,0.09090909090909091,8.0,14.0,0.14583333333333334,0.6,0.6666666666666666,0.6,0.8,1.0,2.0,91.2,6.0,1.5,6.1,1.4,6.0,1.0,6.0,1.0,5.0,0.8,0.2,,0.8,0.6,0.8,0.8,0.8,-90.65454545454546,-90.56363636363636,1.2000000000000002,3,0.8,1,2.0,4,0.025525525525525526,0.025525525525525526,0.0972972972972973,0.024007119190774688,0.030048297379446143,14.0,0.08333333333333333
27,0.42857142857142855,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,3.0,9.0,0.125,1.0,0.6666666666666666,0.5,0.6,4.0,3.0,97.3,6.4,2.1,7.2,1.3,6.2,1.8,6.6,1.4,0.0,0.8,0.4,,0.8,0.6,0.8,0.6,0.8,-96.75454545454545,-96.57272727272726,1.6,2,0.0,0,1.6,2,0.0,0.0,0.07583311466806614,0.02338952942615282,0.021766307573899295,,1.0
28,0.5,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,8.0,14.0,0.06944444444444445,1.0,0.3333333333333333,0.4,0.6,4.0,2.0,94.7,6.2,2.3,6.7,1.8,6.1,1.9,6.3,1.7,5.0,0.8,0.8,,0.8,0.6,0.8,0.6,0.8,-94.15454545454546,-93.97272727272727,2.0,4,3.0,5,5.0,9,0.13213213213213212,0.13175675675675674,0.18270270270270272,0.03140254649467187,0.040013729867007464,0.0,0.09090909090909091
29,0.4,male,0.7272727272727273,0.5454545454545454,0.18181818181818182,12.0,18.0,0.08333333333333333,0.8,0.6666666666666666,0.4,0.6,4.0,0.0,92.7,6.1,2.4,6.3,2.2,6.0,2.0,6.2,1.8,9.0,1.0,0.6,,0.8,0.8,0.6,1.0,0.6,-92.15454545454546,-91.97272727272727,3.0,4,0.0,0,3.0,4,0.0,0.0,0.1735735735735736,0.0634703761999487,0.058234435399057885,,0.16666666666666666
30,0.15789473684210525,male,0.5454545454545454,0.45454545454545453,0.09090909090909091,6.0,12.0,0.22916666666666666,0.8,1.0,0.7,0.8,1.0,3.0,75.7,5.0,1.5,3.6,2.9,5.0,1.0,4.3,1.7,3.0,1.0,0.6,,0.6,0.4,0.8,0.8,0.4,-75.24545454545455,-75.15454545454546,1.4,2,0.0,0,1.4,2,0.0,0.0,0.05405405405405406,0.01705424883543776,0.017305538788241898,,1.0
31,0.1111111111111111,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,5.0,11.0,0.16666666666666666,1.0,0.6666666666666666,0.7,1.0,7.0,2.0,92.1,6.0,1.5,6.2,1.3,5.5,1.5,5.6,1.4,3.0,1.0,0.4,,0.4,0.4,0.8,0.8,0.4,-91.64545454545454,-91.46363636363635,1.2,2,0.0,0,1.2,2,0.0,0.0,0.15202702702702703,0.016222618517530187,0.020103887540385466,,0.0
32,0.75,male,0.7272727272727273,0.6363636363636364,0.09090909090909091,8.5,14.5,0.2916666666666667,0.8,0.3333333333333333,0.8,0.6,4.0,1.0,96.0,6.3,2.2,6.9,1.6,6.6,1.4,7.0,1.0,5.0,0.8,0.4,,0.4,0.2,0.8,0.8,0.8,-95.36363636363636,-95.27272727272727,1.0,1,0.0,0,1.0,1,0.0,0.0,0.06563706563706563,0.015792045185543245,0.014133077151620408,,0.0
33,0.967741935483871,male,0.8181818181818182,0.5454545454545454,0.2727272727272727,10.0,16.0,0.125,0.6,0.3333333333333333,0.65,0.4,3.0,2.0,94.0,6.2,3.3,6.6,2.9,6.1,2.9,6.3,2.7,6.0,0.6,0.2,,0.4,0.8,0.2,0.2,0.0,-93.45454545454545,-93.18181818181819,1.2,2,1.8,2,3.0,4,0.07507507507507508,0.07507507507507508,0.120199146514936,0.02992205270614169,0.03153106490527352,,0.5
34,0.9375,male,0.6363636363636364,0.5454545454545454,0.09090909090909091,8.0,14.0,0.0625,0.8,0.6666666666666666,0.6,0.8,1.0,4.0,83.0,5.4,2.1,4.7,2.8,5.7,1.3,5.3,1.7,5.5,1.0,0.2,,0.8,0.8,0.6,0.8,0.4,-82.45454545454545,-82.36363636363636,1.0,1,0.6,1,1.6,2,0.0007507507507507507,0.0007507507507507507,0.02702702702702703,0.016024675226351752,0.01563275597715054,,0.0
35,1.0,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,9.0,15.0,0.16666666666666666,1.0,0.6666666666666666,0.65,0.6,7.0,1.0,83.0,5.4,2.1,4.7,2.8,5.2,1.8,4.8,2.2,6.0,0.8,0.6,,0.8,0.4,0.6,0.8,0.6,-82.54545454545455,-82.36363636363636,1.2,2,0.0,0,1.2,2,0.0,0.0,0.1735735735735736,0.019167528724576638,0.020935411756852942,,0.0
36,0.8823529411764706,male,0.8181818181818182,0.5454545454545454,0.2727272727272727,13.0,19.0,0.16666666666666666,1.0,0.3333333333333333,0.2,0.8,1.0,3.0,98.0,6.4,3.1,7.3,2.2,6.2,2.8,6.7,2.3,9.0,1.0,0.6,,1.0,0.8,1.0,0.6,1.0,-97.45454545454545,-97.18181818181819,1.0,1,2.0,3,3.0,4,0.00975975975975976,0.00975975975975976,0.09718228867165038,0.018835142377300093,0.01740301036620347,6.0,0.2
37,0.3333333333333333,female,0.6363636363636364,0.45454545454545453,0.18181818181818182,3.0,9.0,0.041666666666666664,1.0,0.6666666666666666,0.7,0.6,7.0,2.0,87.8,5.8,1.7,5.5,2.0,5.4,1.6,5.2,1.8,0.0,0.8,0.4,,0.6,0.8,1.0,0.8,0.6,-87.34545454545454,-87.16363636363636,2.4,3,2.8000000000000003,4,5.2,7,0.11161161161161162,0.11186186186186187,0.15750232991612304,0.04155728135581158,0.04266749356274415,16.0,0.2631578947368421
38,0.23076923076923078,male,0.45454545454545453,0.36363636363636365,0.09090909090909091,8.0,14.0,0.14583333333333334,1.0,0.3333333333333333,0.4,1.0,3.0,3.0,61.0,4.0,1.5,1.6,3.9,4.0,1.0,2.8,2.2,6.0,0.6,0.8,,0.4,0.2,0.4,0.6,0.8,-60.63636363636363,-60.54545454545455,0.0,0,1.8,2,1.8,2,0.0,0.0,0.0,0.010884701485282514,0.010970349893155332,8.0,0.0
